ncm;cnro_enmienda;ncm_descri
95030021;006;Mu?ecas y mu?ecos c/mecanismo a cuerda o electrico,que representen seres humanos
95030022;006;Mu?ecas y mu?ecos que representen seres humanos excluido  c/mecanismo a cuerda o electrico
95030031;006;Juguetes que representen animales o seres no humanos,rellenos
95030040;006;Trenes electricos y sus accesorios
95030050;006;Modelos reducidos a escala p/ensamblar,excluido trenes electricos
95030080;006;Otros juguetes presentados en juegos o surtidos o en panoplias,ncop.
95030098;006;Juguetes y modelos ncop.c/motor,excluido electrico
01059400;006;Gallos y gallinas vivos,de peso > a 185 g.
03019490;006;Atunes comunes o de aleta azul excluido p/reproduccion
03019590;006;Atunes del sur excluido p/reproduccion
03049100;006;Carnes ncop.de peces espada congeladas
06031400;006;Crisantemos frescos
85176272;006;Aparatos emisores c/receptor incorporado ncop.numericos,frecuencia < a 15 GHz y tasa de transmision <= a 34 Mbits/s,excluido de sistema bidireccional de radiomensajes de tasa de transmision <= a 112 kbits/s
85176277;006;Aparatos emisores c/receptor incorporado ncop.numericos,frecuencia < a 15 GHz
85176278;006;Aparatos emisores c/receptor incorporado ncop.numericos,frecuencia >= a 15 GHz y <= a 23 GHz,tasa de transmision <= a 8 Mbits/s
85176294;006;Aparatos traductores de protocolos p/interconexion de redes
85176296;006;Aparatos p/recepcion,conversion y transmision o regeneracion de voz, imagen u otros datos ncop.,analogicos
85176900;006;Aparatos de transmision o recepcion de voz, imagen u otros datos,incluido de comunicacion en red c/s cable ncop.
97060000;006;Antiguedades de mas de cien a?os
84224030;006;Maquinas de empaquetar envases confeccionados c/papel o carton de los item 4811.51.22 o 4811.59.23 en cajas o bandejas de papel o carton plegables,c/capacidad >=a 5000 envases por hora
84223023;006;Llenadora,cerradora de envases tubulares flexibles,de capacidad >= a 100 unidades por minuto
84198919;006;Aparatos y dispositivos ncop.p/tratamiento de materias mediante operaciones que impliquen cambios de temperatura
84198911;006;Recipiente refrigerador c/dispositivo de circulacion de fluido refrigerante
84186999;006;Materiales,maquinas o aparatos p/produccion de frio,bombas de calor,ncop.
84186991;006;Enfriadores de agua,de absorcion por bromuro de litio
84774090;006;Maquinas de moldear en vacio y otras maquinas p/termoformado del caucho o el plastico ncop.
84774010;006;Maquinas de moldear en vacio poliestireno expandido(EPS) o polipropileno expandido (EPP)
84642021;006;Maquinas de pulir baldosas p/pavimentacion o revestimiento,c/ocho o mas cabezales
84632099;006;Laminadoras de roscas p/metales,excluidas de control numerico,que no trabajen por arranque de materia
84632091;006;Maquinas laminadoras de hacer roscas,de peine plano,c/capacidad de produccion >= a 160 unidades por minuto,diametro de rosca >= a 3 mm. y <= a 10 mm.,excluido de control numerico
84609019;006;Maquinas de desbarbar,de control numerico
84609012;006;Maquinas de esmerilar,de control numerico,c/dos o mas cabezales y portapiezas rotativo
84609011;006;Maquinas de pulir,de control numerico,c/cinco o mas cabezales y portapiezas rotativo
84581199;006;Tornos horizontales por arranque de metal,de control numerico excluido de 6 o mas husillos portapiezas y de revolver
84581191;006;Tornos horizontales por arranque de metal,de control numerico de 6 o mas husillos portapiezas excluido de revolver
84512990;006;Maquinas p/secar ropa de capacidad > a 10 kg.,ncop.
84512910;006;Maquinas de secar ropa,que funcionen por medio de ondas electromagneticas (microondas),produccion >= a 120 Kg/h de producto seco
84382019;006;Maquinas y aparatos para confiteria ncop.
84382011;006;Maquina elaboradora de bombones de chocolate por moldeo,de capacidad >= a 150 Kg/h
84336029;006;Maquinas p/limpieza o clasificacion de huevos excluidas las de capacidad >= a 36.000 huevos por hora
84336021;006;Maquinas p/limpieza o clasificacion de huevos,de capacidad >= a 36000 huevos por hora
84295219;006;Excavadora con  giro de 360? ncop.
84295212;006;Excavadora c/giro de 360?,de potencia en el volante <= a 40,3 kw (54 hp)
84295211;006;Excavadora c/giro de 360?,de potencia en el volante >= a 484,7 kw (650 hp)
84295199;006;Cargadoras y palas cargadoras de carga frontal,ncop.
84295192;006;Cargadoras y palas cargadoras de carga frontal ncop.de potencia en el volante <= a 43,99 kw (59 hp)
84295191;006;Cargadoras y palas cargadoras de carga frontal ncop.de potencia en el volante >= a 297,5 kw (399 hp)
55039020;006;Fibras sinteticas discontinuas,ncop.,de poli(alcohol vinilico),s/cardar ni peinar
27101994;006;Mezcla de hidrocarburos aciclicos y ciclicos,saturados,derivados de fracciones de petroleo,c/contenido de hidrocarburos aromaticos < al 2% en peso,destila segun metodo ASTM D 86 una proporcion < al 90% en volumen a 210?C,c/punto final <= a 360?C
29349935;006;Propiconazol
37025412;006;Peliculas policromas en rollos,sensibilizadas,s/impresionar,ancho= 35mm.,de 12 exposiciones (0.5 m de longitud),de 24 exposiciones (1.0 m de longitud) o de 36 exposiciones (1.5 m de longitud)
90179090;006;Partes y accesorios de instrumentos de dibujo,trazado,calculo e instrumentos manuales de medida de longitudes,excluidas mesas o maquinas de dibujar
90181210;006;Ecografos c/analisis espectral Doppler
87084011;006;Cajas de cambio servoasistidas,p/pares de entrada >= a 750 Nm,p/vehiculos motocultores,tractores de orugas o tractores ncop.,de volquetes automotores proyectados p/utilizar fuera de la red de carreteras c/capacidad >=a 85 Tn.
87084019;006;Cajas de cambio ncop.,p/vehiculos motocultores,tractores de orugas o tractores ncop.,de volquetes automotores proyectados p/utilizar fuera de la red de carreteras  c/capacidad >=a 85 Tn.
87085011;006;Ejes c/diferencial p/volquetes automotores proyectados p/utilizar fuera de la red de carreteras c/capacidad de soportar cargas >= a 14000 kg.,reductores planetarios en los extremos y dispositivo de freno incorporado
87087010;006;Ruedas de ejes propulsores,sus partes y accesorios de vehiculos motocultores,tractores de orugas o tractores ncop.,de volquetes automotores proyectados p/utilizar fuera de la red de carreteras
87088000;006;Amortiguadores de suspension de vehiculos automoviles
87089412;006;Columnas de vehiculos motocultores,tractores de orugas o tractores ncop.,de volquetes automotores proyectados p/utilizar fuera de la red de carreteras
87089411;006;Volantes de vehiculos motocultores,tractores de orugas o tractores ncop.,de volquetes automotores proyectados p/utilizar fuera de la red de carreteras
87089413;006;Cajas de vehiculos motocultores,tractores de orugas o tractores ncop.,de volquetes automotores proyectados p/utilizar fuera de la red de carreteras
87089910;006;Dispositivos p/comando de acelerador,freno,embrague,direccion o caja de cambios p/uso de lisiados en vehiculos automoviles
87091900;006;Carretillas p/transporte de mercancias a corta distancia excluidas electricas
87100000;006;Tanques y vehiculos automoviles blindados de combate incluso c/armamento incorporado y sus partes
87112090;006;Motocicletas c/motor de embolo alternativo,de cilindrada > a 50 cm3 y <= a 250 cm3,ncop.
87113000;006;Motocicletas,c/motor de embolo alternativo,de cilindrada > a 250cm3 y <= a 500 cm3
87115000;006;Motocicletas,c/motor de embolo alternativo,de cilindrada > a 800 cm3
87119000;006;Triciclos y velocipedos a motor,sidecares
87139000;006;Sillones de ruedas y otros vehiculos p/invalidos,c/motor u otro mecanismo de propulsion
87149100;006;Cuadros,horquillas y sus partes p/bicicletas
87149310;006;Bujes s/freno p/bicicletas
87149500;006;Sillines(asientos) p/bicicletas
87149990;006;Partes y accesorios ncop.p/bicicletas
87150000;006;Coches,sillas y vehiculos similares p/transporte de ni?os,y sus partes
87162000;006;Remolques y semirremolques,autocargadores o autodescargadores p/uso agricola
87169090;006;Partes de remolques,semirremolques y vehiculos no automoviles,ncop.
88021290;006;Helicopteros ncop.
88022090;006;Aviones y otras aeronaves,de peso en vacio <= a 2000 kg,excluidos a helice y turbohelice
30043928;006;Medicamentos c/nafarelina o su acetato acondicionada p/la venta por menor
30042073;006;Medicamentos c/ciclosporina A acondicionados p/la venta por menor
30043994;006;Medicamentos a base de exemestano,acondicionados p/la venta por menor
29372960;006;Deflazacorte
96131000;006;Encendedores de bolsillo,de gas,no recargables
96138000;006;Encendedores y mecheros excluido de mesa,de bolsillo y de gas
96151900;006;Peines,peinetas,pasadores y articulos similares,excluido de caucho endurecido o plastico
96161000;006;Pulverizadores de tocador y sus partes
96162000;006;Borlas y similares p/aplicacion de polvos,otros cosmeticos y productos de tocador
96180000;006;Maniquies y articulos similares,automatas y escenas animadas p/escaparates
97020000;006;Grabados,estampas y litografias originales
97040000;006;Sellos de correo,timbres fiscales,articulos franqueados y similares sin curso legal en el pais de destino
84201010;006;Calandrias y laminadores p/papel o carton
84209900;006;Partes p/calandrias y laminadores excluidas p/metal o vidrio excluidos cilindros
84211110;006;Desnatadoras c/capacidad de procesamiento de leche >=30000l./h.
84211910;006;Centrifugadoras p/laboratorios de analisis y ensayos
84212300;006;Aparatos p/filtrar lubricantes o carburantes en motores de encendido por chispa o compresion
84212919;006;Hemodializadores excluidos capilares
84213100;006;Filtros de entrada de aire p/motores de encendido por chispa o compresion
84213920;006;Depuradores por conversion catalitica de gases de escapes de vehiculos
84219191;006;Tambores rotativos c/platos o discos separadores,peso > a 300 kg.
84219110;006;Partes de secadores de ropa del item 8421.12.10
84219910;006;Partes de aparatos p/filtrar o depurar gases de la subpartida 8421.39
84221100;006;Maquinas lavavajillas,domesticas
84222000;006;Maquinas y aparatos p/limpiar o secar botellas u otros recipientes
84223010;006;Maquinas y aparatos p/llenar,cerrar,capsular,tapar,taponar o etiquetar botellas
84223029;006;Maquina p/etiquetar botellas u otros continentes,ncop.
84224010;006;Maquinas y aparatos p/empaquetar o envolver mercancias,horizontales aptas p/empaquetado de pasta alimenticias largas
84224090;006;Maquinas y aparatos p/empaquetar o embalar mercancias,ncop.
84229090;006;Partes de maquinas : lavavajillas,excluidas domesticas,p/llenar,tapar,etiquetar botellas y empaquetar mercancias
84233011;006;Dosificadoras c/equipos perifericos que constituyan unidad funcional
84238110;006;Aparatos p/pesar c/capacidad <= a 30 k.,de mostrador,c/dispositivo registrador o impresor de etiqueta
84238900;006;Aparatos e instrumentos p/pesar c/capacidad > a 5000 kg.
84239029;006;Partes de aparatos o instrumentos p/pesar excluidos de la partida 8423.10
84242000;006;Pistolas aerograficas y aparatos similares
84243020;006;Maquinas y aparatos de chorro de arena p/desgaste localizado de prendas de vestir
84243090;006;Maquinas de chorro de arena,vapor o similares ncop.
84082030;006;Motores de embolo,diesel o semidiesel,p/vehiculos automotores,cilindrada > a 2500cm3.y <= a 3500cm3.
84082010;006;Motores de embolo,diesel o semidiesel,p/vehiculos automotores,cilindrada <= a 1500cm3.
84089010;006;Motores de embolo,diesel o semidiesel,estacionarios,potencia continua maxima <= a 450HP,a mas de 1000rpm.
84099115;006;Tubos multiples de admision o escape p/motores de embolo,de explosion
84099140;006;Inyeccion electronica p/motores de embolo,de explosion
84099118;006;Carburadores ncop.p/motores de embolo,de explosion
84099190;006;Partes de motores de embolo,de explosion,ncop.
84099915;006;Tubos multiples de admision o escape p/motores ncop.
84099912;006;Bloques y carteres p/motores ncop.
84101100;006;Turbinas y ruedas hidraulicas,potencia <= a 1000 KW.
84101300;006;Turbinas y ruedas hidraulicas potencia > a 10000 KW
84111100;006;Turborreactores de empuje <=a 25 KN.
84112200;006;Turbopropulsores de potencia > a 1100 KW.
84118200;006;Turbinas de gas de potencia > a 5000 KW.ncop.
84121000;006;Propulsores a reaccion,excluidos turborreactores
84735050;006;Placas(modulos)de memoria,superficie <= a 50cm2 p/usarse indistintamente en maquinas varias de las partidas 8469 a 8472
84735040;006;Cabezales magneticos p/usarse indistintamente en maquinas varias de las partidas 8469 a 8472
84742090;006;Maquinas y aparatos excluidos de bolas p/quebrantar,triturar o pulverizar tierra,piedra u otra materia mineral solida
84743200;006;Maquinas p/mezclar materias minerales c/asfalto
61045100;006;Faldas y faldas pantalon de punto,de lana o pelo fino,p/mujeres o ni?as
61045900;006;Faldas o faldas pantalon de punto,de materia textil ncop.p/mujeres o ni?as
61046200;006;Pantalones largos,cortos,c/peto y shorts de punto, de algodon,p/mujeres o ni?as
61046900;006;Pantalones largos,cortos,c/peto y shorts de punto, de materia textil ncop.,p/mujeres o ni?as
61052000;006;Camisas de punto,de fibras sinteticas o artificiales p/hombres o ni?os
61061000;006;Camisas y blusas de punto,de algodon,p/mujeres o ni?as
61062000;006;Camisas y blusas de punto,de fibras sinteticas o artificiales p/mujeres o ni?as
61071200;006;Calzoncillos y slips de punto,de fibras sinteticas o artificiales p/hombres o ni?os
61072200;006;Camisones y pijamas de punto,de fibras sinteticas o artificiales, p/hombres o ni?os
61079100;006;Batas y similares de punto,de algodon,p/hombres o ni?os
61081100;006;Combinaciones y enaguas de punto,de fibras sinteticas o artificiales, p/mujeres o ni?as
61082200;006;Bragas de punto,de fibras sinteticas o artificiales, p/mujeres o ni?as
61083100;006;Camisones y pijamas de punto,de algodon,p/mujeres o ni?as
61083900;006;Camisones y pijamas de punto,de materia textil ncop.,p/mujeres o ni?as
61089200;006;Batas y similares de punto,de fibras sinteticas o artificiales,p/mujeres o ni?as
61091000;006;T-shirts y camisetas interiores de punto,de algodon
61101100;006;Sueteres,pullovers,chalecos y similares de punto,de lana
61101900;006;Sueteres,pullovers,chalecos y similares de punto,de pelo fino excluido cabra de cachemira
61103000;006;Sueteres,pullovers,chalecos y similares de punto,de fibras sinteticas o artificiales
61113000;006;Prendas y accesorios de vestir de punto,de fibras sinteticas para bebes
61121100;006;Conjuntos de abrigo para entrenamiento o deporte de punto,de algodon
61121900;006;Conjuntos de abrigo para entrenamiento o deporte de punto,de materia textil ncop.
61123900;006;Ba?adores de punto,de materia textil ncop.,p/hombres o ni?os
61124100;006;Ba?adores de punto,de fibras sinteticas,p/mujeres o ni?as
61130000;006;Prendas de vestir,confeccionadas c/tejidos de punto,impregnados o revestidos c/plastico o caucho
56090090;006;Otros articulos de hilados excluido de algodon, no expresados ni comprendidos en otra parte
56090010;006;Otros articulos de hilados de algodon, no expresados ni comprendidos en otra parte
57019000;006;Alfombras de nudo,de material textil excluida lana y pelo fino
57022000;006;Revestimiento p/suelo de fibra de coco
57023200;006;Alfombras y revestimientos p/suelos aterciopelados y s/confeccionar,de materia textil sintetica o artificial
57023900;006;Alfombras y revestimientos p/suelos aterciopelados y s/confeccionar,de materia textil ncop.
57024200;006;Alfombras y revestimientos p/suelos aterciopelados y confeccionados,de materia textil sintetica o artificial
57029100;006;Alfombras y revestimientos p/suelos s/aterciopelar confeccionados,de lana o pelo fino
57029900;006;Alfombras y revestimientos p/suelos s/aterciopelar confeccionados,de materia textil ncop.
57033000;006;Alfombras y revestimientos p/suelos,c/pelo insertado,de materia textil sintetica o artificial ncop.
57041000;006;Alfombras y revestimientos p/suelos de fieltro,de superficie <= a 0,3m2
58011000;006;Terciopelo y felpa de lana o pelo fino
58012200;006;Terciopelo y felpa por trama,cortados,rayados,de algodon
58013200;006;Terciopelo y felpa por trama,cortados,rayados,de fibras sinteticas o artificiales
85255022;006;Aparatos emisores de television en banda UHF, de frecuencia >= a 2,0GHz,potencia de salida >= a 10W.,<= a 100W.
85255024;006;Aparatos emisores de television en banda UHF,potencia de salida > a 20W.
85256020;006;Aparatos emisores de television c/aparato receptor incorporado,de frecuencia > a 7 GHz.
85258011;006;Camaras de television c/tres o mas captores de imagen
85258019;006;Camaras de television ncop.
85258021;006;Videocamaras c/tres o mas captores de imagen
85232933;006;Cintas magneticas grabadas,de anchura > a 6,5 mm.,excluidas p/reproducir fenomenos distintos del sonido e imagen
85232939;006;Cintas magneticas, grabadas,ncop.
85232110;006;Tarjetas c/banda magnetica incorporada s/grabar
94029020;006;Camas c/mecanismo p/uso clinico
94032000;006;Muebles de metal excluido los utilizados en oficinas
94035000;006;Muebles de madera utilizados en dormitorios
94037000;006;Muebles de plastico
94039090;006;Partes de muebles,excluido de madera
94039010;006;Partes de muebles,de madera
94042900;006;Colchones de otras materias excluido caucho y plastico celulares
94051099;006;Lamparas y aparatos electricos de alumbrado,excluido de piedra,vidrio,metal comun,p/alumbrado de espacios o via publica y las lamparas escialiticas
94051093;006;Lamparas y aparatos electricos de alumbrado,de metal comun,excluido p/alumbrado de espacios o via publica y las lamparas escialiticas
94051091;006;Lamparas y aparatos electricos de alumbrado,de piedra,excluido p/alumbrado de espacios o via publica y las lamparas escialiticas
94052000;006;Lamparas electricas de cabecera,mesa,oficina o de pie
94054090;006;Aparatos electricos de alumbrado ncop.,excluido de metal comun
94056000;006;Anuncios,letreros y articulos similares,luminosos
94059200;006;Partes de aparatos de alumbrado,de anuncios,letreros y articulos similares luminosos,de plastico
94059900;006;Partes de aparatos de alumbrado,de anuncios,letreros y articulos similares luminosos,excluido de vidrio y de plastico
95044000;006;Naipes
95061900;006;Articulos p/practica del esqui de nieve,ncop.
95062900;006;Articulos p/deportes nauticos excluido deslizadores de vela
95064000;006;Articulos y material p/tenis de mesa
95066100;006;Pelotas de tenis
95066900;006;Balones y pelotas excluido pelotas inflables y de tenis
95069100;006;Articulos y material p/cultura fisica,gimnasia o atletismo
95073000;006;Carretes de pesca
95079000;006;Articulos p/pesca c/ca?a ncop.,salabardos,casas mariposas,se?uelos y articulos de caza similares
96019000;006;Hueso,concha de tortuga,cuerno,asta,coral,nacar y materias similares p/tallar,trabajadas y sus manufacturas
96020090;006;Materias vegetales o minerales p/tallar y sus manufacturas,manufacturas de cera,parafina,estearina y similares naturales,ncop.
96032100;006;Cepillos de diente incluidos p/dentaduras postizas
96033000;006;Pinceles y brochas p/pintura artistica,p/escribir y p/aplicacion de cosmeticos
96035000;006;Cepillos que son partes de maquinas,aparatos o vehiculos
96050000;006;Juegos de viaje p/aseo personal,costura,limpieza de calzado o de prendas de vestir
96062200;006;Botones de metal comun,s/forrar c/materia textil
96071100;006;Cierres de cremallera c/dientes de metal comun
96081000;006;Boligrafos
96084000;006;Portaminas
96086000;006;Cartuchos de repuesto c/su punta p/boligrafo
96089989;006;Partes p/boligrafos,rotuladores,marcadores,estilograficas,portaminas,portaplumas y similares,ncop.
96092000;006;Minas p/lapices o p/portaminas
96100000;006;Pizarras y tableros p/escribir o dibujar
96110000;006;Fechadores,sellos,numeradores,timbradores y similares,componedores e imprentillas,de mano
86080012;006;Aparatos electromecanicos de se?alizacion,seguridad,control o mando p/vias ferreas,fluviales,carreteras,areas de estacionamiento,puertos o aeropuertos
86090000;006;Contenedores,especialmente concebidos y equipados p/varios medios de transporte
87021000;006;Vehiculos automoviles p/transporte >= a 10 personas,c/motor de embolo o piston,encendido por compresion(Diesel o semi-Diesel)
87032290;006;Vehiculos p/transporte de personas,de cilindrada > a 1000cm3 y <= a 1500cm3,c/motor de embolo o piston,encendido por chispa,ncop.
87032210;006;Vehiculos p/transporte <= a 6 personas,de cilindrada > a 1000cm3 y <= a 1500cm3,c/motor de embolo o piston,encendido por chispa
84702900;006;Maquinas de calcular electronicas que funcionen c/fuente de energia exterior,s/dispositivo de impresion incorporado
84705011;006;Cajas registradoras electronicas c/capacidad de comunicacion bidireccional c/computadoras u otras maquinas numericas
84709090;006;Maquinas de expedir boletos y similares con dispositivo de calculo incorporado
84713012;006;Maquinas automaticas p/procesamiento de datos,digitales,portatiles,de peso < a 3,5kg.c/teclado alfanumerico >= a 70 teclas,pantalla > a 140 y < a 560cm2
84713011;006;Maquinas automaticas p/procesamiento de datos,digitales,portatiles,de peso < a 350g,teclado alfanumerico >= a 70 teclas,pantalla < a 140cm2
84713090;006;Maquinas automaticas p/procesamiento de datos,digitales,portatiles,peso <= a 10kg.ncop.
84714110;006;Maquinas automaticas p/procesamiento de datos,digitales c/CPU y unidad de entrada y salida,peso < a 750g.,pantalla < a 280cm2
84715010;006;Unidades de proceso digitales de peque?a capacidad,basadas en microprocesadores,valor FOB <= a 12500 dolares por unidad
84715030;006;Unidades de proceso digitales de gran capacidad,valor FOB > a 46000 dolares y <= a 100000 dolares por unidad
84715020;006;Unidades de proceso digitales de media capacidad,valor FOB > a 12500 dolares y <= a 46000 dolares por unidad
84716053;006;"Unidades de entrada,indicadores o puntadores(""mouse"" y ""trackball"")"
84717012;006;Unidades de memoria de discos magneticos p/discos rigidos c/un solo conjunto cabezas disco
84717011;006;Unidades de memoria,discos magneticos p/discos flexibles
84717039;006;Unidades de memoria de cintas magneticas ncop.
84719014;006;"Digitalizadores de imagenes(""scanners"")"
84721000;006;Copiadoras incluidos los mimeografos
84723020;006;Maquinas automaticas p/seleccion de correspondencia por formato y clasificacion y distribucion por lectura optica del codigo postal
84723030;006;Maquina automatica p/seleccion y distribucion de encomiendas c/lectura optica del codigo postal
84723010;006;Maquinas automaticas p/obliterar sellos postales
84563011;006;Maquinas herramienta que operen por electroerosion,de control numerico,p/texturizar superficies cilindricas
84571000;006;Centros de mecanizado p/trabajar metal
84573010;006;Maquinas de puestos multiples p/trabajar metal,de control numerico
84581990;006;Tornos horizontales por arranque de metal excluidos revolver y de control numerico
84589100;006;Tornos por arranque de metal,de control numerico, excluidos horizontales
84591000;006;Unidades de mecanizado de correderas de taladrar metales
84592191;006;Maquinas de taladrar,de control numerico, de mas de un cabezal mono o multihusillo,excluidas radiales
84593100;006;Escariadoras-fresadoras-p/metal,de control numerico
84595100;006;Maquinas de fresar de consola,p/metal,de control numerico
84596100;006;Maquinas de fresar,de control numerico,ncop.
84597000;006;Maquinas de roscar metal,incluso aterrajar
30069110;006;Bolsas c/forma p/colostomia,ileostomia y urostomia
30069200;006;Desechos farmaceuticos
30049096;006;Medicamentos c/complejo hierro dextrano acondicionados p/la venta por menor
30061010;006;Ligaduras esteriles de polidihexanona,p/cirugia u odontologia
30032095;006;Medicamentos c/Anfotericina B en liposomas s/acondicionar p/la venta por menor
30019031;006;Higados desecados p/usos opoterapicos
29252911;006;Aspartato de L-arginina
29252919;006;Arginina y sus sales,ncop.
29252921;006;Guanidina
29252922;006;"N,N""-Difenilguanidina"
29252930;006;Amitraz
29252940;006;Isetoniato de Pentamidina
29252950;006;N-(3,7-Dimetil-7-hidroxioctiliden)antranilato de metilo
29252990;006;Iminas y sus derivados,sales de estos productos,ncop.
29241220;006;Fosfamidon
29241230;006;Monocrotofos
87032310;006;Vehiculos p/transporte <= a 6 personas,de cilindrada > a 1500cm3  y <= a 3000cm3,c/motor de embolo o piston,encendido por chispa
87032490;006;Vehiculos p/transporte de personas ,de cilindrada > a 3000cm3,c/motor de embolo o piston,encendido por chispa,ncop.
85365020;006;Unidad conmutadora de amplificador de alta potencia p/sistema de telecomunicacion via satelite,p/una tension <= a 1000 voltios
85366100;006;Portalamparas p/una tension <= a 1000 voltios
85366990;006;Clavijas y tomacorrientes p/una tension <= a 1000 voltios excluidos tomacorrientes polarizados o blindados
85369090;006;Aparatos p/corte,seccionamiento,proteccion,derivacion,empalme o conexion de circuitos electricos,p/una tension <= a 1000 voltios,ncop.
85369010;006;Conectores,p/cables planos constituidos por conductores paralelos aislados individualmente,p/una tension <= a 1000 voltios
85369040;006;Conectores p/circuitos impresos,p/una tension <= a 1000 voltios
85371090;006;Cuadros,paneles,consolas,armarios y otros soportes,equipados c/aparatos de las partidas 8535 u 8536,p/control o distribucion de electricidad,p/una tension <= a 1000 voltios,ncop.
85371011;006;Controladores numericos computarizados(CNC),p/una tension <= a 1000 voltios c/procesador y bus >= 32bits
85371020;006;Controladores programables,p/una tension <= a 1000 voltios
85389010;006;Circuitos impresos c/componentes electricos o electronicos p/aparatos de corte,seccionamiento,proteccion,empalme,conexion,control o distribucion electricidad
85389090;006;Partes ncop.,p/aparatos de corte,seccionamiento,proteccion,empalme,conexion,control o distribucion electricidad
85391090;006;"Faros o unidades ""sellados"" p/tension > a 15 voltios"
85392190;006;Lamparas y tubos de incandescencia halogenas de volframio p/tension > a 15 voltios
85392910;006;Lamparas y tubos de incandescencia p/ una tension <= a 15 voltios excluidas de rayos ultravioletas o infrarrojos
85393100;006;Lamparas y tubos fluorescentes de catodo caliente excluidos de rayos ultravioletas
85393900;006;Lamparas y tubos de descarga ncop.,excluidos los de rayos ultravioleta
85399090;006;Partes p/lamparas y tubos electricos de incandescencia,descarga,rayos ultravioletas,infrarrojos o de arco,ncop.
85399020;006;Casquillos p/lamparas y tubos electricos de incandescencia,descarga,rayos ultravioletas,infrarrojos o de arco
85399010;006;Electrodos p/lamparas y tubos electricos de incandescencia,descarga,rayos ultravioletas,infrarrojos o de arco
85401200;006;Tubos catodicos p/televisores incluso videomonitores en blanco y negro u otros monocromos
85402011;006;Tubos p/camaras de television en blanco y negro u otros monocromos
85404000;006;Tubos p/visualizar datos graficos monocromos ,p/visualizar datos graficos en colores c/pantalla fosforica de separacion de puntos < a 0,4mm.
85407900;006;Tubos p/hiperfrecuencias excluidos magnetrones y los controlados por rejilla
84602900;006;Rectificadoras p/metal,la posicion de la pieza en uno de los ejes <= 0,01mm,excluidas de superficie plana y de control numerico
84604099;006;Bru?idoras de metal excluidas de control numerico y p/cilindros de diametro <= a 312mm.
84604091;006;Bru?idoras de metal p/cilindros de diametro <= a 312mm.excluidas de control numerico
84609090;006;Maquinas p/desbarbar,amolar o pulir metal excluidas de control numerico
84612010;006;Maquinas de mortajar metal
84613010;006;Maquinas de brochar metal,de control numerico
84614091;006;Maquinas de tallar o acabar engranajes de metal,redondeadora de dientes, excluidas de control numerico
84615090;006;Maquinas de aserrar o trocear metal excluidas de cinta sin fin y circulares
84615020;006;Maquinas de aserrar o trocear metal,circulares
84619010;006;Maquinas herramientas de control numerico que trabajen por arranque de metal,ncop.
71131100;006;Articulos de joyeria de plata
71132000;006;Articulos de joyeria de chapados de metales preciosos
71141900;006;Articulos de orfebreria de metales preciosos excluidos de plata
71151000;006;Catalizadores de platino en forma de tela o enrejado
71161000;006;Manufacturas de perlas naturales(finas)o cultivadas
71162020;006;Guias de agujas,de rubi,p/cabezales de impresion
71171900;006;Articulos de bisuteria de metales comunes excluido gemelos
71181090;006;Monedas s/curso legal,excluidas de oro y destinadas a tener curso legal en el pais importador
